,Taxonomy
ASV0001,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV1110,Bacteria; Chloroflexi; KD4_96; o; f; g
ASV1111,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_13
ASV1112,Archaea; Halobacterota; Methanocellia; Methanocellales; Methanocellaceae; Rice_Cluster_I
ASV1113,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; g
ASV1114,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV1115,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC_I_84; g
ASV1116,Bacteria; Latescibacterota; c; o; f; g
ASV1117,Bacteria; Firmicutes; Negativicutes; Veillonellales_Selenomonadales; uncultured; g
ASV1118,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV1119,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
ASV1120,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1121,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV1122,Bacteria; Acidobacteriota; Acidobacteriae; Paludibaculum; f; g
ASV1123,Bacteria; Proteobacteria; Gammaproteobacteria; Diplorickettsiales; Diplorickettsiaceae; Aquicella
ASV1124,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; uncultured; g
ASV1125,Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; uncultured; g
ASV1126,Bacteria; Actinobacteriota; MB_A2_108; o; f; g
ASV1127,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; IS_44
ASV1128,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; Desulfitobacteriaceae; Desulfosporosinus
ASV1129,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; uncultured
ASV1130,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Woesebacteria; f; g
ASV1131,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Afipia
ASV1132,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Gracilibacter; g
ASV1134,Bacteria; Myxococcota; bacteriap25; o; f; g
ASV1135,Bacteria; Firmicutes; Incertae_Sedis; DTU014; f; g
ASV1136,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV1137,Bacteria; Actinobacteriota; MB_A2_108; o; f; g
ASV1138,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Dehalobacter
ASV1139,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV1140,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV1141,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea
ASV1142,Bacteria; Chloroflexi; Anaerolineae; RBG_13_54_9; f; g
ASV1143,Bacteria; Planctomycetota; Planctomycetes; Planctomycetales; Rubinisphaeraceae; Planctomicrobium
ASV1144,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methyloligellaceae; uncultured
ASV1145,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Anaerobacillus
ASV1146,Bacteria; Proteobacteria; Alphaproteobacteria; uncultured; f; g
ASV1147,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Microvirga
ASV1148,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV1149,Archaea; Halobacterota; Methanomicrobia; Methanomicrobiales; uncultured; g
ASV1150,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1151,Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; SM1A02
ASV1152,Bacteria; Actinobacteriota; Coriobacteriia; OPB41; f; g
ASV1153,Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium
ASV1154,Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; uncultured
ASV1155,Bacteria; Proteobacteria; Alphaproteobacteria; Azospirillales; Azospirillaceae; Azospirillum
ASV1157,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis; uncultured
ASV1158,Bacteria; Firmicutes; Syntrophomonadia; Syntrophomonadales; Syntrophomonadaceae; Syntrophomonas
ASV1159,Bacteria; Proteobacteria; Alphaproteobacteria; uncultured; f; g
ASV1160,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; Lutispora; g
ASV1161,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; Ellin6067
ASV1162,Bacteria; Chloroflexi; Anaerolineae; RBG_13_54_9; f; g
ASV1163,Archaea; Nanoarchaeota; Nanoarchaeia; Woesearchaeales; SCGC_AAA011_D5; g
ASV1164,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV1165,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV1166,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; uncultured
ASV1167,Bacteria; Chloroflexi; Anaerolineae; RBG_13_54_9; f; g
ASV1168,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Opitutus
ASV1169,Bacteria; Gemmatimonadota; Longimicrobia; Longimicrobiales; Longimicrobiaceae; g
ASV1170,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Terrimonas
ASV1171,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Ramlibacter
ASV1172,Bacteria; SAR324_clade_Marine_group_B_; c; o; f; g
ASV1173,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Sulfuricellaceae; Sulfuricella
ASV1174,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Microvirga
ASV1175,Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Spirochaetaceae; Spirochaeta
ASV1176,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Leptolinea
ASV1177,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; g
ASV1178,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Woesebacteria; f; g
ASV1179,Bacteria; Cyanobacteria; Sericytochromatia; o; f; g
ASV1180,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV1181,Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium
ASV1182,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae_Subgroup_1_; uncultured
ASV1183,Bacteria; Firmicutes; Clostridia; Oscillospirales; uncultured; g
ASV1184,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Anaerolinea
ASV1185,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Labraceae; Labrys
ASV1186,Bacteria; Desulfobacterota; Syntrophia; Syntrophales; Syntrophaceae; Syntrophus
ASV1187,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV1188,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; uncultured
ASV1190,Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria_Incertae_Sedis; Unknown_Family; Candidatus_Berkiella
ASV1191,Archaea; Crenarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae; g
ASV1192,Bacteria; Acidobacteriota; Holophagae; Subgroup_7; f; g
ASV1193,Bacteria; Firmicutes; Syntrophomonadia; Syntrophomonadales; Syntrophomonadaceae; uncultured
ASV1194,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfurisporaceae; Desulfurispora
ASV1195,Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; JG30_KF_CM45; g
ASV1196,Bacteria; Chloroflexi; KD4_96; o; f; g
ASV1197,Bacteria; Chloroflexi; KD4_96; o; f; g
ASV1198,Bacteria; Armatimonadota; uncultured; o; f; g
ASV1199,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; B1_7BS; g
ASV1200,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1201,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV1202,Bacteria; Firmicutes; Negativicutes; Veillonellales_Selenomonadales; Sporomusaceae; Anaerospora
ASV1203,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1204,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis; Nordella
ASV1205,Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; AKAU3564_sediment_group; g
ASV1207,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; RB41
ASV1208,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Terrimonas
ASV1209,Bacteria; Actinobacteriota; MB_A2_108; o; f; g
ASV1210,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; env_OPS_17; g
ASV1211,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium
ASV1212,Bacteria; Firmicutes; D8A_2; o; f; g
ASV1213,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; uncultured; g
ASV1214,Bacteria; Chloroflexi; Anaerolineae; SJA_15; f; g
ASV1215,Bacteria; Planctomycetota; Phycisphaerae; Tepidisphaerales; WD2101_soil_group; g
ASV1216,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Edaphobaculum
ASV1217,Bacteria; Proteobacteria; Gammaproteobacteria; Diplorickettsiales; Diplorickettsiaceae; uncultured
ASV1218,Bacteria; Bacteroidota; Kryptonia; Kryptoniales; MSB_3C8; g
ASV1219,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; SB_5; g
ASV1220,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfurisporaceae; Desulfurispora
ASV1221,Bacteria; Armatimonadota; Chthonomonadetes; Chthonomonadales; f; g
ASV1222,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylocystis
ASV1223,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; Ellin6067
ASV1224,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Levilinea
ASV1225,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis; Nordella
ASV1226,Bacteria; Chloroflexi; Anaerolineae; RBG_13_54_9; f; g
ASV1227,Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae; Myxococcus
ASV1228,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiales_Incertae_Sedis; Bauldia
ASV1229,Bacteria; Desulfobacterota; Desulfuromonadia; Geobacterales; Geobacteraceae; Geobacter
ASV1230,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Rhodoferax
ASV1231,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV1232,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas
ASV1233,Bacteria; Firmicutes; Limnochordia; Hydrogenispora; f; g
ASV1234,Bacteria; Actinobacteriota; MB_A2_108; o; f; g
ASV1235,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Pelotomaculaceae; Pelotomaculum
ASV1236,Bacteria; Patescibacteria; ABY1; Candidatus_Kerfeldbacteria; f; g
ASV1237,Bacteria; Planctomycetota; Phycisphaerae; Pla1_lineage; f; g
ASV1238,Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Aetherobacter
ASV1239,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; uncultured; g
ASV1240,Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; g
ASV1241,Bacteria; Acidobacteriota; Blastocatellia; DS_100; f; g
ASV1242,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Devosiaceae; Devosia
ASV1243,Bacteria; Proteobacteria; Gammaproteobacteria; Diplorickettsiales; Diplorickettsiaceae; uncultured
ASV1244,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV1245,Bacteria; Dependentiae; Babeliae; Babeliales; f; g
ASV1246,Bacteria; Verrucomicrobiota; Chlamydiae; Chlamydiales; Parachlamydiaceae; Candidatus_Metachlamydia
ASV1247,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV1248,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV1249,Archaea; Crenarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae; g
ASV1250,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; Leptolinea
ASV1252,Bacteria; Armatimonadota; uncultured; o; f; g
ASV1253,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; TRA3_20; g
ASV1254,Archaea; Crenarchaeota; Nitrososphaeria; Nitrososphaerales; Nitrososphaeraceae; g
ASV1256,Bacteria; Patescibacteria; WWE3; o; f; g
ASV1257,Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; AKAU3564_sediment_group; g
ASV1258,Bacteria; Proteobacteria; Gammaproteobacteria; Diplorickettsiales; Diplorickettsiaceae; uncultured
ASV1259,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; Nitrosomonas
ASV1260,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculaceae; Desulfotomaculum
ASV1261,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; SB_5; g
ASV1262,Bacteria; Chloroflexi; Anaerolineae; SBR1031; A4b; OLB13
ASV1263,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV1264,Bacteria; Chloroflexi; Anaerolineae; RBG_13_54_9; f; g
ASV1265,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; A21b; g
ASV1266,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Pelotomaculaceae; Cryptanaerobacter
ASV1267,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Pelotomaculaceae; Cryptanaerobacter
ASV1268,Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; Cryobacterium
ASV1269,Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales; Methylomonadaceae; Methylobacter
ASV1270,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudolabrys
ASV1271,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; g
ASV1272,Bacteria; Proteobacteria; Alphaproteobacteria; Azospirillales; Azospirillales_Incertae_Sedis; Stella
ASV1273,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV1274,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; uncultured; g
ASV1275,Bacteria; Chloroflexi; Anaerolineae; Caldilineales; Caldilineaceae; uncultured
ASV1276,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; Ellin6067
ASV1277,Bacteria; Acidobacteriota; Holophagae; Subgroup_7; f; g
ASV1278,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Comamonas
ASV1279,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; env_OPS_17; g
ASV1280,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudorhodoplanes
ASV1281,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Candidatus_Dichloromethanomonas
ASV1283,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; RB41
ASV1284,Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; NS11_12_marine_group; g
ASV1285,Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Porphyrobacter
ASV1286,Bacteria; Acidobacteriota; Blastocatellia; Blastocatellales; Blastocatellaceae; JGI_0001001_H03
ASV1287,Bacteria; Armatimonadota; uncultured; o; f; g
ASV1288,Bacteria; Proteobacteria; Alphaproteobacteria; Defluviicoccales; Defluviicoccaceae; Defluviicoccus
ASV1289,Bacteria; Firmicutes; Clostridia; Clostridia_vadinBB60_group; f; g
ASV1290,Bacteria; Hydrogenedentes; Hydrogenedentia; Hydrogenedentiales; Hydrogenedensaceae; g
ASV1291,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Paenibacillus
ASV1292,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV1293,Bacteria; Firmicutes; Clostridia; Caldicoprobacterales; Caldicoprobacteraceae; Caldicoprobacter
ASV1294,Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium
ASV1295,Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae; uncultured
ASV1296,Bacteria; Firmicutes; Clostridia; Clostridia_vadinBB60_group; f; g
ASV1297,Bacteria; Patescibacteria; Microgenomatia; Candidatus_Woesebacteria; f; g
ASV1298,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; uncultured
ASV1299,Bacteria; Firmicutes; Limnochordia; Hydrogenispora; f; g
ASV1300,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidetes_vadinHA17; g
ASV1301,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Microvirga
ASV1302,"""k"",""p"",""c"",""o"",""f"",""g""; p; c; o; f; g"
ASV1303,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Pedomicrobium
ASV1304,Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; f; g
ASV1305,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; SC_I_84; g
ASV1306,Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; uncultured; g
ASV1307,Bacteria; Desulfobacterota; Desulfomonilia; Desulfomonilales; Desulfomonilaceae; Desulfomonile
ASV1309,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Ancylobacter
ASV1310,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; mle1_7
ASV1311,Bacteria; Chloroflexi; Anaerolineae; RBG_13_54_9; f; g
ASV1312,Bacteria; Actinobacteriota; Coriobacteriia; OPB41; f; g
ASV1313,Bacteria; Firmicutes; Incertae_Sedis; DTU014; f; g
ASV1314,Bacteria; Firmicutes; Clostridia; Clostridia_vadinBB60_group; f; g
ASV1315,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV1317,Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; uncultured
ASV1318,Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Spirochaetaceae; Spirochaeta
ASV1319,Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; uncultured
ASV1320,Bacteria; Actinobacteriota; Actinobacteria; Micromonosporales; Micromonosporaceae; Micromonospora
ASV1321,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Dechloromonas
ASV1322,Bacteria; Firmicutes; Clostridia; Gracilibacteraceae; uncultured; g
ASV1323,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Pelotomaculaceae; Cryptanaerobacter
ASV1324,Bacteria; Actinobacteriota; Coriobacteriia; OPB41; f; g
ASV1325,Bacteria; Firmicutes; Limnochordia; uncultured; f; g
ASV1326,Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium
ASV1327,Bacteria; Bacteroidota; Kryptonia; Kryptoniales; BSV26; g
ASV1328,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV1329,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; mle1_7
ASV1330,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; uncultured
ASV1331,Bacteria; Proteobacteria; Alphaproteobacteria; Holosporales; Holosporaceae; uncultured
ASV1332,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; Vicinamibacteraceae; g
ASV1333,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Nitrosomonadaceae; 966_1
ASV1334,Bacteria; Actinobacteriota; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
ASV1335,Archaea; Crenarchaeota; Bathyarchaeia; o; f; g
ASV1336,Bacteria; Planctomycetota; Phycisphaerae; Pla1_lineage; f; g
ASV1337,Bacteria; Planctomycetota; Phycisphaerae; Pla1_lineage; f; g
ASV1338,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Rhodoplanes
ASV1339,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_13
ASV1340,Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium_sensu_stricto_1
ASV1341,Bacteria; Firmicutes; D8A_2; o; f; g
ASV1342,Bacteria; Firmicutes; Clostridia; Clostridia_vadinBB60_group; f; g
ASV1343,Bacteria; Acidobacteriota; Blastocatellia; Pyrinomonadales; Pyrinomonadaceae; RB41
ASV1344,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; uncultured; g
ASV1345,Bacteria; Acidobacteriota; Vicinamibacteria; Subgroup_17; f; g
ASV1346,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV1347,Bacteria; Firmicutes; Negativicutes; uncultured; f; g
ASV1348,Bacteria; Firmicutes; Clostridia; Lachnospirales; Lachnospiraceae; Herbinix
ASV1349,Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; uncultured; g
ASV1350,Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Candidatus_Solibacter
ASV1351,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Lysobacter
ASV1353,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium
ASV1354,Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium
ASV1355,Bacteria; Acidobacteriota; Acidobacteriae; Paludibaculum; f; g
ASV1356,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; TRA3_20; g
ASV1357,Bacteria; Firmicutes; Clostridia; Christensenellales; Christensenellaceae; Christensenellaceae_R_7_group
ASV1358,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; ADurb_Bin063_1
ASV1359,Bacteria; Bdellovibrionota; Oligoflexia; 053A03_B_DI_P58; f; g
ASV1360,Bacteria; Chloroflexi; Ktedonobacteria; C0119; f; g
ASV1362,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Candidatus_Accumulibacter
ASV1363,Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; g
ASV1364,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Pseudorhodoplanes
ASV1365,Bacteria; Zixibacteria; c; o; f; g
ASV1366,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfurisporaceae; Desulfurispora
ASV1367,Archaea; Thermoplasmatota; Thermoplasmata; Methanomassiliicoccales; Methanomassiliicoccaceae; Methanomassiliicoccus
ASV1368,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Luteimonas
ASV1369,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Microvirga
ASV1370,Bacteria; Armatimonadota; uncultured; o; f; g
ASV1371,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanobacterium
ASV1372,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculaceae; Desulfofarcimen
ASV1373,Bacteria; Hydrogenedentes; Hydrogenedentia; Hydrogenedentiales; Hydrogenedensaceae; g
ASV1374,Bacteria; Firmicutes; Clostridia; Oscillospirales; Hungateiclostridiaceae; uncultured
ASV1375,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculales_Incertae_Sedis; Desulfallas_Sporotomaculum
ASV1376,Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; uncultured
ASV1377,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Mesorhizobium
ASV1378,Bacteria; Firmicutes; Desulfitobacteriia; Desulfitobacteriales; SyntrophobASVlaceae; Candidatus_Dichloromethanomonas
ASV1379,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV1380,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV1381,Bacteria; Firmicutes; Symbiobacteriia; Symbiobacteriales; Symbiobacteraceae; uncultured
ASV1382,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV1383,Bacteria; Firmicutes; uncultured; o; f; g
ASV1384,Bacteria; Proteobacteria; Gammaproteobacteria; Coxiellales; Coxiellaceae; Coxiella
ASV1385,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Rhizobacter
ASV1386,Bacteria; Actinobacteriota; Acidimicrobiia; Microtrichales; Microtrichaceae; IMCC26207
ASV1387,Bacteria; Acidobacteriota; Holophagae; Subgroup_7; f; g
ASV1388,Bacteria; Myxococcota; Myxococcia; Myxococcales; Anaeromyxobacteraceae; Anaeromyxobacter
ASV1389,Bacteria; Methylomirabilota; Methylomirabilia; Rokubacteriales; f; g
ASV1390,Bacteria; Chloroflexi; Anaerolineae; SBR1031; f; g
ASV1391,Bacteria; Firmicutes; Clostridia; Peptostreptococcales_Tissierellales; Sedimentibacteraceae; Sedimentibacter
ASV1392,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Rubritepida
ASV1393,Bacteria; Chloroflexi; Anaerolineae; Anaerolineales; Anaerolineaceae; uncultured
ASV1394,Bacteria; Firmicutes; Desulfotomaculia; Desulfotomaculales; Desulfotomaculales_Incertae_Sedis; Desulfallas_Sporotomaculum
